Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org
Metal 4.0 - Forward Mobile - Using Device #0: Apple - Apple M2 (Apple8)
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.

Project FPS: 60 (16.66 mspf)
Project FPS: 59 (16.94 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 59 (16.94 mspf)
Project FPS: 41 (24.39 mspf)
Project FPS: 21 (47.61 mspf)
Project FPS: 19 (52.63 mspf)
Project FPS: 24 (41.66 mspf)
Project FPS: 34 (29.41 mspf)
Project FPS: 42 (23.80 mspf)
Project FPS: 45 (22.22 mspf)
Project FPS: 47 (21.27 mspf)
Project FPS: 43 (23.25 mspf)
Project FPS: 41 (24.39 mspf)
Project FPS: 32 (31.25 mspf)
Project FPS: 27 (37.03 mspf)
Project FPS: 27 (37.03 mspf)
Project FPS: 29 (34.48 mspf)
Project FPS: 32 (31.25 mspf)
Project FPS: 28 (35.71 mspf)
Project FPS: 24 (41.66 mspf)
Project FPS: 21 (47.61 mspf)
Project FPS: 27 (37.03 mspf)
Project FPS: 32 (31.25 mspf)
Project FPS: 34 (29.41 mspf)
Project FPS: 33 (30.30 mspf)
Project FPS: 30 (33.33 mspf)
Project FPS: 27 (37.03 mspf)
Project FPS: 23 (43.47 mspf)
Project FPS: 27 (37.03 mspf)
Project FPS: 32 (31.25 mspf)
Project FPS: 35 (28.57 mspf)
Project FPS: 36 (27.77 mspf)
Project FPS: 37 (27.02 mspf)
Project FPS: 34 (29.41 mspf)
Project FPS: 26 (38.46 mspf)
Project FPS: 26 (38.46 mspf)
Project FPS: 29 (34.48 mspf)
Project FPS: 34 (29.41 mspf)
Project FPS: 41 (24.39 mspf)
Project FPS: 45 (22.22 mspf)
Project FPS: 47 (21.27 mspf)
Project FPS: 51 (19.60 mspf)
Project FPS: 49 (20.40 mspf)
Project FPS: 55 (18.18 mspf)
Project FPS: 45 (22.22 mspf)
Project FPS: 34 (29.41 mspf)
Project FPS: 29 (34.48 mspf)
Project FPS: 26 (38.46 mspf)
Project FPS: 31 (32.25 mspf)
Project FPS: 34 (29.41 mspf)
Project FPS: 33 (30.30 mspf)
Project FPS: 32 (31.25 mspf)
Project FPS: 37 (27.02 mspf)
Project FPS: 37 (27.02 mspf)
Project FPS: 37 (27.02 mspf)
Project FPS: 34 (29.41 mspf)
Project FPS: 40 (25.00 mspf)
Project FPS: 55 (18.18 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 58 (17.24 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
